code,MARKET_CAP,EP,BP,DIVIDEND_YIELD,ROE,ROE_STABILITY,PROFIT_GROWTH,OCF_TO_REVENUE,MOMENTUM_20,MOMENTUM_60,VOLATILITY_20,TURNOVER_STABILITY,VOLUME_PRICE_DIVERGENCE,INDUSTRY,LIST_DATE
600282.SH,29037578661.81,0.07319115630643544,0.9140886388645206,0.025730281164468773,8.12,0.429761210361968,-1.67,0.053495894501119676,0.10746762193441728,0.3312355084465055,0.32532315093128095,3.018768085327048,-0.32628275804638834,钢铁,2010-01-01
601899.SH,442803133970.8,0.04769482859220021,0.24278496496807184,0.0149812734082397,21.43,0.1543270540351573,5.38,0.043695380774032455,0.2654028436018956,0.3870129870129868,0.3774613781443409,5.075366666408307,-0.3081537106814135,有色金属,2010-01-01
603587.SH,6062805781.4,0.0697232691535196,0.6177583203675129,0.027342038384015426,13.37,0.324894483249665,28.31,0.0644115327315748,0.019658654275757304,-0.03304804677569706,0.18796802541191213,4.484236681471705,-0.27461177520143126,纺织服饰,2010-01-01
600585.SH,118068461460.12,0.08833974375689825,1.569606984223692,0.02899901864573111,5.65,0.4661929662756347,-33.42,0.09298331697742886,-0.05341384115188119,-0.013552758954501476,0.1922884209296547,3.6074849774365343,0.33253991019684165,建筑材料,2010-01-01
601088.SH,776660445040.95,0.07685984314766021,0.5262170905344454,0.026829413515927356,14.88,0.21709534611918754,-14.29,0.06713307532003572,0.002985965959988013,0.3059875583203735,0.29128106704743706,4.1643390121822925,0.33810422499948584,煤炭,2010-01-01
002120.SZ,21164110944.0,0.08983431310542998,0.8900102543421464,0.024238926561823693,8.96,0.3884838219941449,9.58,0.08440340499206463,0.017618558214652857,-0.0307649279821004,0.3529542490774304,2.7020090233557754,-0.503235837985623,交通运输,2010-01-01
600023.SH,89436247435.83,0.04116097432399166,0.753662553183988,0.024177631578947367,10.14,0.2609442687278176,456.83,0.07072368421052631,0.23828920570264756,0.5392405063291139,0.40232004477329525,3.3287138644536727,-0.021541443763849557,公用事业,2010-01-01
600801.SH,28399080565.34,0.09726077959675504,1.0187988249785631,0.03236009732360098,9.82,0.32148109366031025,2.34,0.12165450121654502,0.01398026315789469,0.08730158730158721,0.275728405630604,2.9711623031335894,-0.524924319350331,建筑材料,2010-01-01
000888.SZ,5427204950.6,0.03597011459861971,0.4588608468369618,0.013265097236438076,9.58,0.2505481728408258,256.24,0.04605936540429888,0.1534828807556079,0.18137847642079818,0.3059890380015403,3.0798218753846522,-0.6160113553705984,社会服务,2010-01-01
002281.SZ,30592659191.04,0.017346229425530164,0.2758972726964174,0.006549184639663334,8.0,0.34182532487219064,1.75,0.017359284587059442,0.06141820212171978,0.38204289349327514,0.8420543415422501,3.477204883178064,-0.1686703384476691,通信,2010-01-01
600489.SH,64032998970.44,0.04100117282091804,0.40461608199298893,0.014734299516908212,11.86,0.3216618296342494,57.11,0.0535426731078905,0.2117073170731707,0.3441558441558441,0.36992009998661685,3.4229883669868304,-0.6041039840709772,有色金属,2010-01-01
001979.SZ,85624901872.65,0.07380353513412788,1.1519342796611673,0.021819402484055055,6.04,0.5311168968775245,48.2,0.19413673492223343,0.06304270250981325,-0.005563591854901628,0.43079954893667394,3.1984577816302626,-0.7968519628111751,房地产,2010-01-01
600690.SH,235480966580.35,0.07047964551326319,0.4395860746745174,0.02340787236824899,16.85,0.21311353619438148,12.81,0.058410705723377365,0.017745441639678727,0.20292590844738068,0.26632152579394874,2.296388939522517,-0.4163111314287447,家用电器,2010-01-01
601398.SH,1881825037429.92,0.19342552707048957,1.8081149573453026,0.06750861079219288,10.66,0.3289316888677219,0.79,0.4569460390355912,-0.0091012514220703,0.13263979193758124,0.24247377798644587,3.35846091467309,0.1808939000482333,银行,2010-01-01
600893.SH,90523580322.48,0.01469599493509471,0.43585374960556866,0.004717680918612586,3.66,0.8229749073325967,12.17,-0.03753375070468504,-0.027133908726149514,-0.07872509088921076,0.2455156994510092,2.9039494919020354,-0.4562048067669811,国防军工,2010-01-01
600088.SH,8447283936.0,0.03696357486170496,0.1475516558243128,0.008454493957703927,21.04,0.09282750918453224,465.54,0.0018882175226586102,-0.06694855532064836,0.7161373946856775,0.763157535123773,2.174886341402435,-0.8320326027150899,传媒,2010-01-01
